"FID_WDPA_O,N,10,0","WDPAID,N,19,15","WDPA_PID,C,52","PA_DEF,C,20",NAME,"ORIG_NAME,C,254","DESIG,C,254","DESIG_ENG,C,254","DESIG_TYPE,C,20","IUCN_CAT,C,20","STATUS,C,100","STATUS_YR,N,9,0","GOV_TYPE,C,254","FID_WWW_ed,N,10,0","OBJECTID,N,10,0","NAME_1,C,254","COUNTRY,C,254","TYPE,C,50","Region,C,55","CONTINENT,C,13",sq_km
11870,61819,61819,1,Laguna Blanca,Laguna Blanca,Reserva Nacional,National Reserve,National,VI,Designated,1940,Federal or national ministry or agency,33,36,Payunia - Laguna Blanca,Argentina,WCS areas of work,Patagonia,South America,1
13539,67758,67758,1,Parque Nacional Laguna Blanca,Parque Nacional Laguna Blanca,"Sitio Ramsar, Humedal de Importancia Internacional","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,1992,Not Reported,33,36,Payunia - Laguna Blanca,Argentina,WCS areas of work,Patagonia,South America,4
16931,95145,95145,1,Yerba Loca,Yerba Loca,Santuario de la Naturaleza,Nature Sanctuary,National,IV,Designated,1973,Collaborative governance,37,49,Mediterraneo,Chile,WCS areas of work,Patagonia,South America,347
16958,95315,95315,1,Reserva Costa Atlantica de Tierra del Fuego,Reserva Costa Atlantica de Tierra del Fuego,"Sitio Ramsar, Humedal de Importancia Internacional","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,1995,Not Reported,35,40,Tierra del Fuego,Argentina-Chile,WCS areas of work,Patagonia,South America,19
17052,98129,98129,1,Costa Atl_’ntica Tierra del Fuego,Costa Atl_’ntica Tierra del Fuego,Reserva Hemisf_¨rica,Hemispheric Shorebird Reserve,National,IV,Designated,1992,Sub-national ministry or agency,35,40,Tierra del Fuego,Argentina-Chile,WCS areas of work,Patagonia,South America,11
40087,166732,166732,1,Auca Mahuida,Auca Mahuida,Reserva Natural de Uso M__ltiple,Multiple Use Nature Reserve,National,VI,Designated,1996,Sub-national ministry or agency,33,36,Payunia - Laguna Blanca,Argentina,WCS areas of work,Patagonia,South America,764
56353,198291,198291,1,Pen_Ánsula Vald_¨s,Pen_Ánsula Vald_¨s,Sitio Patrimonio de la Humanidad (natural o mixto),World Heritage Site (natural or mixed),International,Not Applicable,Inscribed,1999,Not Reported,34,38,Valdes,Argentina,WCS areas of work,Patagonia,South America,90
56544,300021,300021,1,Ca__ada Molina,Ca__ada Molina,Monumento Natural Provincial,Provincial Nature Monument,National,III,Designated,1993,Sub-national ministry or agency,33,36,Payunia - Laguna Blanca,Argentina,WCS areas of work,Patagonia,South America,2
56557,300062,300062,1,Laguna del Diamante,Laguna del Diamante,Reserva Natural,Nature Reserve,National,II,Designated,1994,Sub-national ministry or agency,37,49,Mediterraneo,Chile,WCS areas of work,Patagonia,South America,1
14,19,19,1,Laguna Blanca,Laguna Blanca,Parque Nacional,National Park,National,II,Designated,1940,Federal or national ministry or agency,33,36,Payunia - Laguna Blanca,Argentina,WCS areas of work,Patagonia,South America,75
13539,67758,67758,1,Parque Nacional Laguna Blanca,Parque Nacional Laguna Blanca,"Sitio Ramsar, Humedal de Importancia Internacional","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,1992,Not Reported,33,36,Payunia - Laguna Blanca,Argentina,WCS areas of work,Patagonia,South America,75
1624,3371,3371,1,Golfo San Jos_¨,Golfo San Jos_¨,Reserva Natural Tur_Ástica,Tourist Nature Reserve,National,II,Designated,1974,Sub-national ministry or agency,34,38,Valdes,Argentina,WCS areas of work,Patagonia,South America,0
5658,16889,16889,1,Pen_Ánsula de Vald_¨s,Pen_Ánsula de Vald_¨s,Reserva Natural Tur_Ástica,Tourist Nature Reserve,National,VI,Designated,1983,Sub-national ministry or agency,34,38,Valdes,Argentina,WCS areas of work,Patagonia,South America,0
1624,3371,3371,1,Golfo San Jos_¨,Golfo San Jos_¨,Reserva Natural Tur_Ástica,Tourist Nature Reserve,National,II,Designated,1974,Sub-national ministry or agency,34,38,Valdes,Argentina,WCS areas of work,Patagonia,South America,15
56353,198291,198291,1,Pen_Ánsula Vald_¨s,Pen_Ánsula Vald_¨s,Sitio Patrimonio de la Humanidad (natural o mixto),World Heritage Site (natural or mixed),International,Not Applicable,Inscribed,1999,Not Reported,34,38,Valdes,Argentina,WCS areas of work,Patagonia,South America,15
5658,16889,16889,1,Pen_Ánsula de Vald_¨s,Pen_Ánsula de Vald_¨s,Reserva Natural Tur_Ástica,Tourist Nature Reserve,National,VI,Designated,1983,Sub-national ministry or agency,34,38,Valdes,Argentina,WCS areas of work,Patagonia,South America,3566
56353,198291,198291,1,Pen_Ánsula Vald_¨s,Pen_Ánsula Vald_¨s,Sitio Patrimonio de la Humanidad (natural o mixto),World Heritage Site (natural or mixed),International,Not Applicable,Inscribed,1999,Not Reported,34,38,Valdes,Argentina,WCS areas of work,Patagonia,South America,3566
11870,61819,61819,1,Laguna Blanca,Laguna Blanca,Reserva Nacional,National Reserve,National,VI,Designated,1940,Federal or national ministry or agency,33,36,Payunia - Laguna Blanca,Argentina,WCS areas of work,Patagonia,South America,34
13539,67758,67758,1,Parque Nacional Laguna Blanca,Parque Nacional Laguna Blanca,"Sitio Ramsar, Humedal de Importancia Internacional","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,1992,Not Reported,33,36,Payunia - Laguna Blanca,Argentina,WCS areas of work,Patagonia,South America,34
16958,95315,95315,1,Reserva Costa Atlantica de Tierra del Fuego,Reserva Costa Atlantica de Tierra del Fuego,"Sitio Ramsar, Humedal de Importancia Internacional","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,1995,Not Reported,35,40,Tierra del Fuego,Argentina-Chile,WCS areas of work,Patagonia,South America,663
17052,98129,98129,1,Costa Atl_’ntica Tierra del Fuego,Costa Atl_’ntica Tierra del Fuego,Reserva Hemisf_¨rica,Hemispheric Shorebird Reserve,National,IV,Designated,1992,Sub-national ministry or agency,35,40,Tierra del Fuego,Argentina-Chile,WCS areas of work,Patagonia,South America,663
1624,3371,3371,1,Golfo San Jos_¨,Golfo San Jos_¨,Reserva Natural Tur_Ástica,Tourist Nature Reserve,National,II,Designated,1974,Sub-national ministry or agency,34,38,Valdes,Argentina,WCS areas of work,Patagonia,South America,0
5658,16889,16889,1,Pen_Ánsula de Vald_¨s,Pen_Ánsula de Vald_¨s,Reserva Natural Tur_Ástica,Tourist Nature Reserve,National,VI,Designated,1983,Sub-national ministry or agency,34,38,Valdes,Argentina,WCS areas of work,Patagonia,South America,0
56353,198291,198291,1,Pen_Ánsula Vald_¨s,Pen_Ánsula Vald_¨s,Sitio Patrimonio de la Humanidad (natural o mixto),World Heritage Site (natural or mixed),International,Not Applicable,Inscribed,1999,Not Reported,34,38,Valdes,Argentina,WCS areas of work,Patagonia,South America,0
25,35,35,1,Manuripi,Manuripi,Reserva Nacional de Vida Silvestre Amaz__nica,National Wildlife Reserve,National,Not Reported,Designated,1973,Federal or national ministry or agency,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,13
36,53,53,1,Parque Nacional Do Ja__,Parque Nacional Do Ja__,Parque,Park,National,II,Designated,1980,Federal or national ministry or agency,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,199
93,129,129,1,El Tuparro,El Tuparro,Parque Nacional Natural,National Natural Park,National,II,Designated,1980,Federal or national ministry or agency,41,55,Eastern Savannas of Arauca and Vichada,Colombia,WCS areas of work,AAO,South America,210
100,136,136,1,Nevado del Huila,Nevado del Huila,Parque Nacional Natural,National Natural Park,National,II,Designated,1977,Federal or national ministry or agency,43,57,Western-Central Andes,Colombia,WCS areas of work,AAO,South America,1638
102,138,138,1,Farallones de Cali,Farallones de Cali,Parque Nacional Natural,National Natural Park,National,II,Designated,1968,Federal or national ministry or agency,44,58,Andes-Choco,Colombia,WCS areas of work,AAO,South America,1963
103,139,139,1,Las Hermosas,Las Hermosas,Parque Nacional Natural,National Natural Park,National,II,Designated,1977,Federal or national ministry or agency,43,57,Western-Central Andes,Colombia,WCS areas of work,AAO,South America,1247
105,141,141,1,Purace,Purace,Parque Nacional Natural,National Natural Park,National,II,Designated,1975,Federal or national ministry or agency,43,57,Western-Central Andes,Colombia,WCS areas of work,AAO,South America,918
111,147,147,1,Los Nevados,Los Nevados,Parque Nacional Natural,National Natural Park,National,II,Designated,1974,Federal or national ministry or agency,43,57,Western-Central Andes,Colombia,WCS areas of work,AAO,South America,614
132,186,186,1,Yasun_Á,Yasun_Á,Parque Nacional,National Park,National,Not Reported,Designated,1992,Federal or national ministry or agency,39,53,Llanganates-Yasuni,Ecuador,WCS areas of work,AAO,South America,10232
134,188,188,1,Sangay,Sangay,Parque Nacional,National Park,National,Not Reported,Designated,2004,Federal or national ministry or agency,39,53,Llanganates-Yasuni,Ecuador,WCS areas of work,AAO,South America,2
172,242,242,1,Defensores del Chaco,Defensores del Chaco,Parque Nacional - Publico,National Park,National,II,Designated,1975,Not Reported,36,44,Paraguayan Chaco,Paraguay,WCS areas of work,Patagonia,South America,7205
178,249,249,1,Pacaya - Samiria,Pacaya Samiria,Reserva Nacional,National Reserve,National,VI,Designated,1972,Federal or national ministry or agency,40,54,Mara__on Ucayali,Peru,WCS areas of work,AAO,South America,0
1181,2215,2215,1,Parque Nacional De Anavilhanas,Parque Nacional De Anavilhanas,Parque,Park,National,II,Designated,1981,Federal or national ministry or agency,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,133
1302,2499,2499,1,Cuyabeno,Cuyabeno,Reserva de Producci__n de Fauna,Fauna Production Reserve,National,Not Reported,Designated,1999,Federal or national ministry or agency,39,53,Llanganates-Yasuni,Ecuador,WCS areas of work,AAO,South America,265
1471,3018,3018,1,El Tuparro Nature Reserve,El Tuparro Nature Reserve,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Designated,1979,Not Reported,41,55,Eastern Savannas of Arauca and Vichada,Colombia,WCS areas of work,AAO,South America,157
1623,3370,3370,1,Tambopata,Tambopata,Reserva Nacional,National Reserve,National,VI,Designated,2000,Government-delegated management,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,2778
3222,9308,9308,1,Estaci__n Biol__gica del Beni,Estaci__n Biol__gica del Beni,Reserva de la Bi__sfera,Biosphere Reserve,National,Not Reported,Designated,1982,Federal or national ministry or agency,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,0
3250,9400,9400,1,La Paya,La Paya,Parque Nacional Natural,National Natural Park,National,II,Designated,1984,Federal or national ministry or agency,45,59,Andean-Amazon piedmont of Putumayo,Colombia,WCS areas of work,AAO,South America,4399
3357,9614,9614,1,Sangay National Park,Parc national Sangay,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,Inscribed,1983,Not Reported,39,53,Llanganates-Yasuni,Ecuador,WCS areas of work,AAO,South America,7
3771,10781,10781,1,Sipapo,Sipapo,Reserva Forestal (RF),Forest Reserve (RF),National,VI,Designated,1963,Federal or national ministry or agency,41,55,Eastern Savannas of Arauca and Vichada,Colombia,WCS areas of work,AAO,South America,38
4536,12472,12472,1,Estaci__n Biol__gica Beni,Estaci__n Biol__gica Beni,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Designated,1986,Not Reported,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,0
4868,13966,13966,1,Tatama,Tatama,Parque Nacional Natural,National Natural Park,National,II,Designated,1987,Federal or national ministry or agency,44,58,Andes-Choco,Colombia,WCS areas of work,AAO,South America,435
6731,20003,20003,1,Limoncocha,Limoncocha,Reserva Biol__gica,Biological Reserve,National,Not Reported,Designated,1985,Federal or national ministry or agency,39,53,Llanganates-Yasuni,Ecuador,WCS areas of work,AAO,South America,12
6732,20011,20011,1,Pil__n Lajas,Pil__n Lajas,Reserva de la Bi__sfera y Territorio Ind_Ágena,Biosphere Reserve and Indigenous Territory,National,Not Reported,Designated,1992,Federal or national ministry or agency,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,72
6791,20183,20183,1,Alto Mayo,Alto Mayo,Bosque de Protecci__n,Protection Forest,National,VI,Designated,1987,Government-delegated management,40,54,Mara__on Ucayali,Peru,WCS areas of work,AAO,South America,48
9783,33922,33922,1,Waimiri-Atroari,Waimiri-Atroari,Terra Ind_Ágena,Indigenous Area,National,Not Reported,Designated,1999,Indigenous peoples,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,60
11825,61554,61554,1,Medanos del Chaco,M_¨danos del Chaco,Parque Nacional - Publico,National Park,National,II,Designated,2004,Not Reported,36,44,Paraguayan Chaco,Paraguay,WCS areas of work,Patagonia,South America,1218
13895,68138,68138,1,Pacaya Samiria,Pacaya Samiria,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,1992,Not Reported,40,54,Mara__on Ucayali,Peru,WCS areas of work,AAO,South America,0
14516,81072,81072,1,Sumaco Napo-Galeras,Sumaco Napo-Galeras,Parque Nacional,National Park,National,Not Reported,Designated,1994,Federal or national ministry or agency,39,53,Llanganates-Yasuni,Ecuador,WCS areas of work,AAO,South America,70
16963,95320,95320,1,Mamirau_’,Mamirau_’,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,1993,Not Reported,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,0
17039,97512,97512,1,Llanganates,Llanganates,Parque Nacional,National Park,National,Not Reported,Designated,1996,Federal or national ministry or agency,39,53,Llanganates-Yasuni,Ecuador,WCS areas of work,AAO,South America,2186
17056,98183,98183,1,Madidi,Madidi,Parque Nacional,National Park,National,Not Reported,Designated,1995,Federal or national ministry or agency,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,12690
17057,98228,98228,1,Pucacuro,Pucacuro,Reserva Nacional,National Reserve,National,VI,Designated,2010,Federal or national ministry or agency,39,53,Llanganates-Yasuni,Ecuador,WCS areas of work,AAO,South America,979
17133,100719,100719,1,Cuenca Alta del Rio Mocoa,Cuenca Alta del Rio Mocoa,Reservas Forestales Protectoras Nacionales,National Protective Forest Reserves,National,VI,Designated,1984,Federal or national ministry or agency,45,59,Andean-Amazon piedmont of Putumayo,Colombia,WCS areas of work,AAO,South America,1
17141,100727,100727,1,Rio Blanco y Quebrada Olivares,Rio Blanco y Quebrada Olivares,Reservas Forestales Protectoras Nacionales,National Protective Forest Reserves,National,VI,Designated,1990,Federal or national ministry or agency,43,57,Western-Central Andes,Colombia,WCS areas of work,AAO,South America,50
17152,100747,100747,1,Laguna La Cocha Cerro Patascoy,Laguna La Cocha Cerro Patascoy,Reservas Forestales Protectoras Nacionales,National Protective Forest Reserves,National,VI,Designated,1971,Federal or national ministry or agency,45,59,Andean-Amazon piedmont of Putumayo,Colombia,WCS areas of work,AAO,South America,498
17155,100751,100751,1,Quebrada La Nona,Quebrada La Nona,Reservas Forestales Protectoras Nacionales,National Protective Forest Reserves,National,VI,Designated,1980,Federal or national ministry or agency,43,57,Western-Central Andes,Colombia,WCS areas of work,AAO,South America,6
17157,100756,100756,1,Quebradas El Penon y San Juan,Quebradas El Penon y San Juan,Reservas Forestales Protectoras Nacionales,National Protective Forest Reserves,National,VI,Designated,1960,Federal or national ministry or agency,43,57,Western-Central Andes,Colombia,WCS areas of work,AAO,South America,6
17166,100767,100767,1,De la Cuenca Hidrografica de los Rios Escalarete y San Cipriano,De la Cuenca Hidrografica de los Rios Escalarete y San Cipriano,Reservas Forestales Protectoras Nacionales,National Protective Forest Reserves,National,VI,Designated,1980,Federal or national ministry or agency,44,58,Andes-Choco,Colombia,WCS areas of work,AAO,South America,56
20757,127825,127825,1,Bahuaja - Sonene,Bahuaja Sonene,Parque Nacional,National Park,National,II,Designated,1996,Government-delegated management,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,10866
27106,145547,145547,1,Lago Titicaca (Peruvian sector),Lago Titicaca (Peruvian sector),"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,1997,Not Reported,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,0
40090,166741,166741,1,Reserva Biol__gica Limoncocha,Reserva Biol__gica Limoncocha,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,Designated,1998,Not Reported,39,53,Llanganates-Yasuni,Ecuador,WCS areas of work,AAO,South America,3
40381,168276,168276,1,Allpahuayo  Mishana,Allpahuayo Mishana,Reserva Nacional,National Reserve,National,VI,Designated,2004,Federal or national ministry or agency,40,54,Mara__on Ucayali,Peru,WCS areas of work,AAO,South America,3
40383,168280,168280,1,Santiago - Comaina,Santiago Comaina,Zona Reservada,Restricted Zone,National,Not Assigned,Designated,1999,Federal or national ministry or agency,40,54,Mara__on Ucayali,Peru,WCS areas of work,AAO,South America,236
56535,220296,220296,1,Central Amazon Conservation Complex,Complexe de conservation de lï‚…Amazonie centrale,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,Inscribed,2000,Not Reported,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,674
57799,303548,303548,1,Otun Quimbaya,Otun Quimbaya,Santuario de Fauna y Flora,Fauna and Flora Sanctuary,National,IV,Designated,1996,Federal or national ministry or agency,43,57,Western-Central Andes,Colombia,WCS areas of work,AAO,South America,5
57969,303893,303893,1,Apolobamba,Apolobamba,Area Natural de Manejo Integado Nacional,National Natural Integrated Management Area,National,Not Reported,Designated,1972,Federal or national ministry or agency,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,4731
57970,303894,303894,1,Madidi,Madidi,_Ÿrea Natural de Manejo Integrado,Natural Integrated Management Area,National,Not Reported,Designated,1995,Federal or national ministry or agency,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,6026
64914,317059,317059,1,Cuenca Alta del Rio Cali,Cuenca Alta del Rio Cali,Reservas Forestales Protectoras Nacionales,National Protective Forest Reserves,National,VI,Designated,1938,Federal or national ministry or agency,44,58,Andes-Choco,Colombia,WCS areas of work,AAO,South America,42
64916,317061,317061,1,Rio Guabas,Rio Guabas,Reservas Forestales Protectoras Nacionales,National Protective Forest Reserves,National,VI,Designated,1938,Federal or national ministry or agency,43,57,Western-Central Andes,Colombia,WCS areas of work,AAO,South America,160
64918,317064,317064,1,El Cerro Dapa Carisucio,El Cerro Dapa Carisucio,Reservas Forestales Protectoras Nacionales,National Protective Forest Reserves,National,VI,Designated,1939,Federal or national ministry or agency,44,58,Andes-Choco,Colombia,WCS areas of work,AAO,South America,11
64920,317066,317066,1,Quebrada Guadualito y El Negrito,Quebrada Guadualito y El Negrito,Reservas Forestales Protectoras Nacionales,National Protective Forest Reserves,National,VI,Designated,1941,Federal or national ministry or agency,44,58,Andes-Choco,Colombia,WCS areas of work,AAO,South America,12
75672,342465,342465,1,Yacuma,Yacuma,Parque Regional,Regional Park,National,Not Reported,Designated,1987,Sub-national ministry or agency,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,51
75681,342481,342481,1,El Dorado,El Dorado,Wildlife Refuge,Wildlife Refuge,National,IV,Designated,1988,Sub-national ministry or agency,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,1717
75682,342482,342482,1,Estancias Elsner Esp_Árir,Estancias Elsner Esp_Árir,Wildlife Refuge,Wildlife Refuge,National,IV,Designated,1978,Not Reported,38,52,Madidi Tambopata,"Bolivia, Peru",WCS areas of work,AAO,South America,761
80788,351832,351832,1,Reserva Extrativista Do Rio Unini,Reserva Extrativista Do Rio Unini,Reserva Extrativista,Extractive Reserve,National,VI,Designated,2006,Federal or national ministry or agency,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,7903
80926,352134,352134,1,Reserva De Desenvolvimento Sustent_’vel Aman_œ,Reserva De Desenvolvimento Sustent_’vel Aman_œ,Reserva de Desenvolvimento Sustent_’vel,Sustainable Development Reserve,National,VI,Designated,1998,Sub-national ministry or agency,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,1682
80936,352144,352144,1,_Ÿrea De Prote_¼_œo Ambiental Margem Esquerda Do Rio Negro-Setor Aturi_’-Apuauzinho,_Ÿrea De Prote_¼_œo Ambiental Margem Esquerda Do Rio Negro-Setor Aturi_’-Apuauzinho,_Ÿrea de Prote_¼_œo Ambiental,Environmental Protection Area,National,V,Designated,1995,Sub-national ministry or agency,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,5066
80937,352145,352145,1,_Ÿrea De Prote_¼_œo Ambiental Margem Esquerda Do Rio Negro-Setor Tarum_œ A_¼u-Tarum_œ Mirima,_Ÿrea De Prote_¼_œo Ambiental Margem Esquerda Do Rio Negro-Setor Tarum_œ A_¼u-Tarum_œ Mirima,_Ÿrea de Prote_¼_œo Ambiental,Environmental Protection Area,National,V,Designated,1995,Sub-national ministry or agency,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,559
80938,352146,352146,1,Parque Estadual Rio Negro Setor Sul,Parque Estadual Rio Negro Setor Sul,Parque,Park,National,II,Designated,1995,Sub-national ministry or agency,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,778
80939,352147,352147,1,_Ÿrea De Prote_¼_œo Ambiental Margem Direita Do Rio Negro- Setor Paduari-Solim_çes,_Ÿrea De Prote_¼_œo Ambiental Margem Direita Do Rio Negro- Setor Paduari-Solim_çes,_Ÿrea de Prote_¼_œo Ambiental,Environmental Protection Area,National,V,Designated,1995,Sub-national ministry or agency,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,4533
80941,352149,352149,1,Parque Estadual Rio Negro Setor Norte,Parque Estadual Rio Negro Setor Norte,Parque,Park,National,II,Designated,1995,Sub-national ministry or agency,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,1464
81038,352281,352281,1,Bom Intento,Bom Intento,Terra Ind_Ágena,Indigenous Area,National,Not Reported,Designated,2004,Indigenous peoples,40,54,Mara__on Ucayali,Peru,WCS areas of work,AAO,South America,4
81080,352326,352326,1,S_œo Francisco,S_œo Francisco,Terra Ind_Ágena,Indigenous Area,National,Not Reported,Proposed,1993,Indigenous peoples,46,61,Lower R_Áo Negro,Brazil,WCS areas of work,AAO,South America,0
