FID_Global,OBJECTID,SITRECID,REGION,COUNTRY,ISO3,NATNAME,INTNAME,FINCODE,SITLAT,SITLONG,IBASTATUS,KBASTATUS,AZESTATUS,SITAREA,PROTECT,NO_PA,SOURCE,DELTXT,DELGEOM,CREATEDBY,ADDEDBY,ADDEDDATE,CHANGEBY,CHANGEDATE,TRIGGERS,FID_strong,OBJECTID_1,SCAPENAME,PROGRAM,COUNTRY_1,Name,Reason,sq_km
9685,0,19403,South America,Argentina,ARG,Valle del R├¡o Coll├│n Cur├í,Valle del R├¡o Coll├│n Cur├í,AR229,-40.3786243845,-70.6541988307,confirmed,,,24460,little/none,0,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"VU, other",116,0,,,,,,245
9686,0,19404,South America,Argentina,ARG,Parque Provincial Copahue-Caviahue,Parque Provincial Copahue-Caviahue,AR223,-37.8280770754,-71.0370875041,confirmed,,,31439,whole,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"VU, other",116,0,,,,,,314
9687,0,19405,South America,Argentina,ARG,Alumin├®-Moquehue,Alumin├®-Moquehue,AR225,-38.9311113801,-71.1757575192,confirmed,,,46123,little/none,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"VU, endemic, other",116,0,,,,,,461
9689,0,19408,South America,Argentina,ARG,San Antonio Oeste,San Antonio Oeste,AR230,-40.7053201466,-64.8005658316,confirmed,,,327225,some,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"CR/EN, migratory birds/congregations",116,0,,,,,,2426
9690,0,19410,South America,Argentina,ARG,Extensi├│n L├¡mite Este y Sur del Parque Nacional Nahuel Huapi,Extensi├│n L├¡mite Este y Sur del Parque Nacional Nahuel Huapi,AR233,-41.5994753238,-71.188072031,confirmed,,,620744,most,4,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"VU, endemic, other",116,0,,,,,,6207
9754,0,19482,South America,Argentina,ARG,Punta Gutierrez - Bah├¡a Camarones,Punta Gutierrez - Bah├¡a Camarones,AR242,-44.5732004772,-65.4602008719,confirmed,,,10314,little/none,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,VU,116,0,,,,,,84
9755,0,19483,South America,Argentina,ARG,Norte del Golfo San Jorge,Norte del Golfo San Jorge,AR244,-45.0430116235,-66.1218510698,confirmed,,,38198,whole,3,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"VU, migratory birds/congregations",116,0,,,,,,372
9757,0,19486,South America,Argentina,ARG,Parque Nacional Los Alerces y Laguna Terrapl├®n,Parque Nacional Los Alerces y Laguna Terrapl├®n,AR238,-42.8490952656,-71.8382325766,confirmed,,,258597,whole,4,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"VU, endemic, other",116,0,,,,,,2576
9758,0,19487,South America,Argentina,ARG,Lago La Plata - Fontana,Lago La Plata - Fontana,AR243,-44.9497001491,-71.4510829995,confirmed,,,239471,little/none,0,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"VU, endemic, other",116,0,,,,,,2395
9759,0,19488,South America,Argentina,ARG,Reserva Provincial Aleusco,Reserva Provincial Aleusco,AR240,-43.1526044412,-70.4532342305,confirmed,,,10373,whole,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,other,116,0,,,,,,104
9769,0,19498,South America,Argentina,ARG,Parque Nacional Lihue Calel,Parque Nacional Lihue Calel,AR193,-37.8506138175,-65.5457436414,confirmed,,,128495,whole,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"CR/EN, migratory birds/congregations",116,0,,,,,,167
9770,0,19499,South America,Argentina,ARG,Ba├▒ados del R├¡o Atuel,Ba├▒ados del R├¡o Atuel,AR192,-37.4246807646,-66.6248190479,confirmed,,,1114202,some,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"CR/EN, migratory birds/congregations",116,0,,,,,,10475
9787,0,19519,South America,Argentina,ARG,Meseta Lago Strobel,Meseta Lago Strobel,AR251,-48.4637347429,-71.4242551436,confirmed,,,190754,little/none,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"CR/EN, endemic, migratory birds/congregations, other",116,0,,,,,,1908
9802,0,19535,South America,Argentina,ARG,Reserva Provincial Laguna de Llancanelo,Reserva Provincial Laguna de Llancanelo,AR187,-35.6230507502,-69.1505927678,confirmed,,,42228,whole,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,other,116,0,,,,,,422
9803,0,19536,South America,Argentina,ARG,Reserva Provincial El Pay├®n,Reserva Provincial El Pay├®n,AR188,-36.3203784673,-68.9989391151,confirmed,,,429580,whole,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,VU,116,0,,,,,,4296
9807,0,19540,South America,Argentina,ARG,Parque Nacional Lan├¡n,Parque Nacional Lan├¡n,AR228,-39.8719822933,-71.4395012791,confirmed,,,417655,whole,4,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"VU, endemic, other",116,0,,,,,,4158
9808,0,19541,South America,Argentina,ARG,Parque Nacional Laguna Blanca,Parque Nacional Laguna Blanca,AR226,-39.0359705651,-70.3458485002,confirmed,de-listed,de-listed,11653,whole,3,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"VU, migratory birds/congregations, other",116,0,,,,,,117
9809,0,19542,South America,Argentina,ARG,Laguna de Varvarco Campos y Tapia,Laguna de Varvarco Campos y Tapia,AR219,-36.3782890433,-70.6364550951,confirmed,,,20248,little/none,0,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,VU,116,0,,,,,,202
9810,0,19543,South America,Argentina,ARG,Reserva Provincial Lagunas de Epulaufquen,Reserva Provincial Lagunas de Epulaufquen,AR220,-36.8424516338,-71.0593565441,confirmed,,,14968,whole,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"VU, endemic, other",116,0,,,,,,150
9811,0,19544,South America,Argentina,ARG,Reserva Provincial Tromen,Reserva Provincial Tromen,AR221,-37.1315471403,-70.0633180752,confirmed,,,35417,whole,3,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,VU,116,0,,,,,,354
9812,0,19545,South America,Argentina,ARG,Area Natural Protegida Auca Mahuida,Area Natural Protegida Auca Mahuida,AR222,-37.7970041998,-68.9693329849,confirmed,,,88080,whole,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,VU,116,0,,,,,,881
9813,0,19546,South America,Argentina,ARG,Paso de los Indios,Paso de los Indios,AR224,-38.5189298525,-69.4651426232,confirmed,,,14934,little/none,0,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,other,116,0,,,,,,149
9814,0,19547,South America,Argentina,ARG,Area Natural Protegida El Mangrullo,Area Natural Protegida El Mangrullo,AR227,-39.427614249,-69.0758550155,confirmed,,,8539,whole,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,other,116,0,,,,,,85
9815,0,19548,South America,Argentina,ARG,La Angostura y Alto R├¡o Chico,La Angostura y Alto R├¡o Chico,AR252,-48.5574631341,-70.5615761079,confirmed,,,27724,little/none,0,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"CR/EN, VU, endemic, other",116,0,,,,,,277
9816,0,19549,South America,Argentina,ARG,Monumento Natural Bosques Petrificados y Estancia El Cuadro,Monumento Natural Bosques Petrificados y Estancia El Cuadro,AR247,-47.6844834157,-68.1013342795,confirmed,,,61081,whole,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,other,116,0,,,,,,611
9817,0,19550,South America,Argentina,ARG,Parque Nacional Perito Moreno y Reserva Provincial San Lorenzo,Parque Nacional Perito Moreno y Reserva Provincial San Lorenzo,AR250,-47.864600178,-72.2301611044,confirmed,,,128858,whole,4,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"CR/EN, VU, endemic, migratory birds/congregations, other",116,0,,,,,,1289
9818,0,19551,South America,Argentina,ARG,Meseta Lago Buenos Aires,Meseta Lago Buenos Aires,AR246,-46.8763310396,-71.339208013,confirmed,,,112410,some,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"CR/EN, endemic, migratory birds/congregations, other",116,0,,,,,,1124
9821,0,19554,South America,Argentina,ARG,Meseta del Asador (o Aguila),Meseta del Asador (o Aguila),AR249,-47.8056972063,-71.2551684736,confirmed,,,55191,little/none,0,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"CR/EN, endemic, migratory birds/congregations, other",116,0,,,,,,552
9822,0,19555,South America,Argentina,ARG,"Parque Nacional Los Glaciares y adyacencias (Estancias El Sosiego, La Soledad y Anita)","Parque Nacional Los Glaciares y adyacencias (Estancias El Sosiego, La Soledad y Anita)",AR254,-50.0080326654,-73.0947120463,confirmed,,,800859,whole,4,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"VU, endemic, migratory birds/congregations, other",116,0,,,,,,7600
9840,0,19574,South America,Argentina,ARG,Reserva Costa Atl├íntica de Tierra del Fuego y zonas adyacentes,Reserva Costa Atl├íntica de Tierra del Fuego y zonas adyacentes,AR262,-53.3991066512,-68.1601339939,confirmed,,,210590,whole,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"endemic, migratory birds/congregations, other",116,0,,,,,,2070
9841,0,19577,South America,Argentina,ARG,"Isla de los Estados, Islas de A├▒o Nuevo e islotes adyacentes","Isla de los Estados, Islas de A├▒o Nuevo e islotes adyacentes",AR264,-54.7894981355,-64.3292293662,confirmed,,,48901,most,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"endemic, migratory birds/congregations",116,0,,,,,,489
9879,0,20848,South America,Argentina,ARG,Pen├¡nsula y Bah├¡a de San Juli├ín,Pen├¡nsula y Bah├¡a de San Juli├ín,AR253,-49.3367193685,-67.6707904683,confirmed,,,13862,most,3,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,,"CR/EN, migratory birds/congregations, other",116,0,,,,,,132
13416,0,45318,South America,Argentina,ARG,"Confluencia, desembocadura y adyacencias de los r├¡os Chico y Santa Cruz","Confluencia, desembocadura y adyacencias de los r├¡os Chico y Santa Cruz",AR268,-49.9815025239,-68.5873720389,confirmed,,,61025,little/none,1,Provided by partner via regional office,Boundary reinstated for 2018 IBA in Danger update,3. draft polygon,Aves Argentinas,,04/17/18,,,"CR/EN, migratory birds/congregations",116,0,,,,,,415
14091,0,19411,South America,Argentina,ARG,Area Natural Protegida Provincial Meseta de Somuncur├í,Meseta de Somuncura Provincial Natural Protected Area,AR235,-41.5060179378,-66.9231500358,confirmed,confirmed,confirmed,2202980,most,1,IUCN SSC Amphibian Specialist Group. 2016. Pleurodema somuncurense. The IUCN Red List of Threatened Species 2016: e.T20372A85948443. http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T20372A85948443.en. Downloaded on 24 February 2017.,No change from existing AZE,3. draft polygon,AZE (2018),,10/09/09,,,"CR/EN, VU",116,0,,,,,,22030
14125,0,19409,South America,Argentina,ARG,Parque y Reserva Nacional Nahuel Huapi,Nahuel Huapi National Park and Reserve,AR231,-40.9650882231,-71.5344519697,confirmed,confirmed,confirmed,742875,whole,7,"Bidau, C., Lessa, E. & Ojeda, R. 2008. Ctenomys sociabilis. The IUCN Red List of Threatened Species 2008: e.T5826A11745504. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T5826A11745504.en. Downloaded on 27 December 2016.",No change from existing AZE,3. draft polygon,AZE (2018),,10/09/09,,,"CR/EN, VU, endemic, other",116,0,,,,,,7398
14171,0,47007,South America,Argentina,ARG,Pehuenche Valley,Pehuenche Valley,,-35.9844311106,-70.3894783631,,confirmed,confirmed,892,little/none,0,"IUCN SSC Amphibian Specialist Group,. 2013. Alsodes pehuenche. The IUCN Red List of Threatened Species 2013: e.T56319A18136036. http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T56319A18136036.en. Downloaded on 23 February 2017.",Based on species distribution map,3. draft polygon,AZE (2018),,11/21/18,,,CR/EN,116,0,,,,,,9
14283,0,29795,South America,Argentina,ARG,Southwest of Laguna Blanca National Park,Southwest of Laguna Blanca National Park,,-39.1366235058,-70.5131023155,,confirmed,confirmed,27869,little/none,0,"Carmen ├Übeda, Esteban Lavilla, N├®stor Basso. 2010. Atelognathus patagonicus. The IUCN Red List of Threatened Species 2010: e.T56323A11459931. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T56323A11459931.en. Downloaded on 23 February 2017.",No change from existing AZE,3. draft polygon,AZE (2018),,07/18/13,,,CR/EN,116,0,,,,,,279
14769,0,29792,South America,Chile,CHL,Farellones 1,Farellones 1,,-33.3575362133,-70.0587395654,,confirmed,de-listed,2234,little/none,0,Created by AZE process from various sources,range map,3. draft polygon,CI,,07/18/13,,03/11/19,"VU, endemic",116,0,,,,,,22
14770,0,29793,South America,Chile,CHL,Farellones 2,Farellones 2,,-33.2490399731,-70.2144791332,,confirmed,de-listed,5168,most,1,Created by AZE process from various sources,range map,3. draft polygon,CI,,07/18/13,,03/11/19,"VU, endemic",116,0,,,,,,26
15511,0,24785,South America,Chile,CHL,Parque Nacional Torres del Paine,Parque Nacional Torres del Paine,CL096,-51.0329538946,-73.0902640514,confirmed,,,219973,whole,3,WDPA - March 2020,,3. draft polygon,BirdLife International,,07/08/10,,04/17/20,"VU, migratory birds/congregations",116,0,,,,,,2181
15612,0,19575,South America,Argentina,ARG,Pen├¡nsula Mitre,Pen├¡nsula Mitre,AR265,-54.7776153501,-65.6166584699,confirmed,,,156270,little/none,0,IBA Directory Process,Recieved from Partner via Regional Office. Boundary amended to represent coastline using GADM 3.6 layer,3. draft polygon,BirdLife International,,10/09/09,,06/11/20,"VU, migratory birds/congregations, other",116,0,,,,,,1520
15687,0,19515,South America,Argentina,ARG,R├¡a Deseado e islas adyacentes,R├¡a Deseado e islas adyacentes,AR248,-47.7864739495,-65.9850610559,confirmed,,,15464,whole,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,09/07/20,migratory birds/congregations,116,0,,,,,,78
15714,0,24784,South America,Chile,CHL,Isla Diego de Almagro,Isla Diego de Almagro,CL097,-51.6147117935,-75.3032663882,confirmed,,,1050,little/none,0,IBA Directory Process,IBA Site Text Descrption: delineated based on site desciption and use of Global Island Database / WDPA August 2020.,2. buffered point,BirdLife International,,09/18/20,,,migratory birds/congregations,116,0,,,,,,10
15761,0,19485,South America,Argentina,ARG,Parque Nacional Lago Puelo - Parque Provincial R├¡o Turbio,Parque Nacional Lago Puelo - Parque Provincial R├¡o Turbio,AR236,-42.2328813522,-71.7811328783,confirmed,,,122189,whole,6,IBA Directory Process,"Recieved from Partner via Regional Office. Boundary extnded to include the August 2020 WDPA boundary ""Reserva Forestal Lago Epuyen"".",3. draft polygon,BirdLife International,,10/09/09,,10/29/20,"VU, endemic, other",116,0,,,,,,1222
15765,0,19407,South America,Argentina,ARG,Complejo Islote Lobos,Complejo Islote Lobos,AR234,-41.4957692841,-65.0055108399,confirmed,,,20333,whole,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,10/29/20,migratory birds/congregations,116,0,,,,,,20
15766,0,19479,South America,Argentina,ARG,Sistema Pen├¡nsula de Vald├®s,Sistema Pen├¡nsula de Vald├®s,AR237,-42.6251679827,-64.3965352778,confirmed,,,1948207,whole,11,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,10/29/20,"CR/EN, VU, migratory birds/congregations, other",116,0,,,,,,9361
15808,0,24804,South America,Chile,CHL,"Bah├¡a Chilota, Porvenir","Bah├¡a Chilota, Porvenir",CL106,-53.3046053121,-70.4084641187,confirmed,,,690,little/none,0,CODEFF via regional office,"Delineated by CODEFF, sent as KML",2. buffered point,BirdLife International,,12/08/20,,,other,116,0,,,,,,7
15814,0,24797,South America,Chile,CHL,Ping├╝inera del Seno Otway,Ping├╝inera del Seno Otway,CL104,-52.9808387189,-71.2335882916,confirmed,,,409,little/none,0,CODEFF via regional office,"Delineated by CODEFF, sent as KML",4. refined polygon,BirdLife International,,01/07/21,,,endemic,116,0,,,,,,4
15815,0,24802,South America,Chile,CHL,Cord├│n Baquedano,Cord├│n Baquedano,,-53.300992426,-70.2161504069,confirmed,,,13587,little/none,0,CODEFF via regional office,"Delineated by CODEFF, sent as KML",4. refined polygon,BirdLife International,,01/07/21,,,endemic,116,0,,,,,,136
15816,0,24800,South America,Chile,CHL,Islote Albatros - Seno Almirantazgo,Islote Albatros - Seno Almirantazgo,CL110,-54.4263013349,-69.1217256622,confirmed,,,10838,whole,0,CODEFF via regional office,"Delineated by CODEFF, sent as KML",4. refined polygon,BirdLife International,,01/07/21,,,other,116,0,,,,,,108
15818,0,24790,South America,Chile,CHL,Marisma Buque Quemado,Marisma Buque Quemado,CL100,-52.4060399404,-69.6356091001,confirmed,,,4060,little/none,0,CODEFF via regional office,"Delineated by CODEFF, sent as KML",1. point,BirdLife International,,01/07/21,,,migratory birds/congregations,116,0,,,,,,41
15820,0,28565,South America,Chile,CHL,Pen├¡nsula Antonio Varas,Pen├¡nsula Antonio Varas,,-51.6565122716,-72.9271495383,confirmed,,,103894,little/none,0,CODEFF via regional office,"Delineated by CODEFF, sent as KML",1. point,BirdLife International,,01/07/21,,,other,116,0,,,,,,1039
15823,0,24783,South America,Chile,CHL,Sierra Baguales,Sierra Baguales,CL095,-50.7703514415,-72.4069462325,confirmed,,,20985,little/none,0,CODEFF via regional office,"Delineated by CODEFF, sent as KML",4. refined polygon,BirdLife International,,01/07/21,,,VU,116,0,,,,,,15
15824,0,24742,South America,Chile,CHL,Valle del Yeso,Valle del Yeso,CL041,-33.6252404071,-69.9822629544,confirmed,,,31767,little/none,0,CODEFF via regional office,"Delineated by CODEFF, sent as KML",4. refined polygon,BirdLife International,,01/07/21,,,"VU, endemic",116,0,,,,,,318
15827,0,24786,South America,Chile,CHL,Puerto Natales,Puerto Natales,CL098,-51.7180656326,-72.5077703194,confirmed,,,19,little/none,0,CODEFF via regional office,"Delineated by CODEFF, sent as KML",4. refined polygon,BirdLife International,,01/08/21,,,migratory birds/congregations,116,0,,,,,,0
15830,0,24796,South America,Chile,CHL,Monumento Natural Isla Contramaestre,Monumento Natural Isla Contramaestre,,-52.9435916137,-70.3558189823,confirmed,,,142,little/none,0,Coastline of Islands taken from Global dataset in January 2013. Repositioned to cover the island,,3. draft polygon,"Gill Bunting, BirdLife International",,01/21/13,,01/12/21,other,116,0,,,,,,1
15831,0,24793,South America,Chile,CHL,Islote Leonard,Islote Leonard,CL108,-53.3847503851,-74.0699363643,confirmed,,,21,little/none,0,Digitized from Google Earth at BirdLife International in January 2013. Moved south to cover island,,3. draft polygon,"Gill Bunting, BirdLife International",,01/21/13,,01/12/21,VU,116,0,,,,,,0
15890,0,19481,South America,Argentina,ARG,Complejo Punta Tombo  - Punta Atlas,Complejo Punta Tombo  - Punta Atlas,AR241,-43.9800318678,-65.0712945179,confirmed,,,246972,most,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,02/25/21,"VU, migratory birds/congregations",116,0,,,,,,42
15893,0,19576,South America,Argentina,ARG,Canal Beagle,Canal Beagle,AR266,-54.8473893229,-67.7140372379,confirmed,,,72419,little/none,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,02/26/21,"VU, endemic",116,0,,,,,,724
15894,0,19578,South America,Argentina,ARG,Parque Nacional Tierra del Fuego y Reserva Provincial Coraz├│n de la Isla,Parque Nacional Tierra del Fuego y Reserva Provincial Coraz├│n de la Isla,AR263,-54.555916984,-68.0944304979,confirmed,,,234882,some,4,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,,10/09/09,,02/26/21,"VU, other",116,0,,,,,,2349
15979,0,24744,South America,Chile,CHL,Reserva Nacional Altos de Lircay,Reserva Nacional Altos de Lircay,CL047,-35.5902924544,-70.9401963063,confirmed,confirmed,confirmed,11478,whole,1,IUCN SSC Amphibian Specialist Group. 2015. Telmatobufo venustus. The IUCN Red List of Threatened Species 2015: e.T21624A79810264. http://dx.doi.org/10.2305/IUCN.UK.2015-4.RLTS.T21624A79810264.en. Downloaded on 24 February 2017.,Based on existing KBA boundaries,3. draft polygon,AZE (2018),,07/08/10,,11/21/18,"CR/EN, endemic, other",116,0,,,,,,111
15983,0,24733,South America,Chile,CHL,Reserva Nacional R├¡o Clarillo,Reserva Nacional R├¡o Clarillo,CL042,-33.7711447392,-70.4458227291,confirmed,,,12995,whole,1,WDPA - 2010,,3. draft polygon,BirdLife International,,07/08/10,,,endemic,116,0,,,,,,130
