FID_Global,OBJECTID,SITRECID,REGION,COUNTRY,ISO3,NATNAME,INTNAME,FINCODE,SITLAT,SITLONG,IBASTATUS,KBASTATUS,AZESTATUS,SITAREA,PROTECT,NO_PA,SOURCE,DELTXT,DELGEOM,CREATEDBY,TRIGGERS,FID_WWW_ed,OBJECTID_1,NAME,at_risk,Map_number,COUNTRY_1,TYPE,CONTINENT,sq_km
9813,0,19546,South America,Argentina,ARG,Paso de los Indios,Paso de los Indios,AR224,-38.5189298525,-69.4651426232,confirmed,,,14934,little/none,0,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,other,33,36,Payunia - Laguna Blanca,,,Argentina,WCS areas of work,South America,149
9840,0,19574,South America,Argentina,ARG,Reserva Costa Atl├íntica de Tierra del Fuego y zonas adyacentes,Reserva Costa Atl├íntica de Tierra del Fuego y zonas adyacentes,AR262,-53.3991066512,-68.1601339939,confirmed,,,210590,whole,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"endemic, migratory birds/congregations, other",35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,South America,2005
9841,0,19577,South America,Argentina,ARG,"Isla de los Estados, Islas de A├▒o Nuevo e islotes adyacentes","Isla de los Estados, Islas de A├▒o Nuevo e islotes adyacentes",AR264,-54.7894981355,-64.3292293662,confirmed,,,48901,most,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"endemic, migratory birds/congregations",35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,South America,415
14283,0,29795,South America,Argentina,ARG,Southwest of Laguna Blanca National Park,Southwest of Laguna Blanca National Park,,-39.1366235058,-70.5131023155,,confirmed,confirmed,27869,little/none,0,"Carmen ├Übeda, Esteban Lavilla, N├®stor Basso. 2010. Atelognathus patagonicus. The IUCN Red List of Threatened Species 2010: e.T56323A11459931. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T56323A11459931.en. Downloaded on 23 February 2017.",No change from existing AZE,3. draft polygon,AZE (2018),CR/EN,33,36,Payunia - Laguna Blanca,,,Argentina,WCS areas of work,South America,209
14769,0,29792,South America,Chile,CHL,Farellones 1,Farellones 1,,-33.3575362133,-70.0587395654,,confirmed,de-listed,2234,little/none,0,Created by AZE process from various sources,range map,3. draft polygon,CI,"VU, endemic",37,49,Mediterraneo,,,Chile,WCS areas of work,South America,22
14770,0,29793,South America,Chile,CHL,Farellones 2,Farellones 2,,-33.2490399731,-70.2144791332,,confirmed,de-listed,5168,most,1,Created by AZE process from various sources,range map,3. draft polygon,CI,"VU, endemic",37,49,Mediterraneo,,,Chile,WCS areas of work,South America,26
15612,0,19575,South America,Argentina,ARG,Pen├¡nsula Mitre,Pen├¡nsula Mitre,AR265,-54.7776153501,-65.6166584699,confirmed,,,156270,little/none,0,IBA Directory Process,Recieved from Partner via Regional Office. Boundary amended to represent coastline using GADM 3.6 layer,3. draft polygon,BirdLife International,"VU, migratory birds/congregations, other",35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,South America,1441
15766,0,19479,South America,Argentina,ARG,Sistema Pen├¡nsula de Vald├®s,Sistema Pen├¡nsula de Vald├®s,AR237,-42.6251679827,-64.3965352778,confirmed,,,1948207,whole,11,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"CR/EN, VU, migratory birds/congregations, other",34,38,Valdes,,,Argentina,WCS areas of work,South America,9468
15808,0,24804,South America,Chile,CHL,"Bah├¡a Chilota, Porvenir","Bah├¡a Chilota, Porvenir",CL106,-53.3046053121,-70.4084641187,confirmed,,,690,little/none,0,CODEFF via regional office,"Delineated by CODEFF, sent as KML",2. buffered point,BirdLife International,other,35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,South America,7
15815,0,24802,South America,Chile,CHL,Cord├│n Baquedano,Cord├│n Baquedano,,-53.300992426,-70.2161504069,confirmed,,,13587,little/none,0,CODEFF via regional office,"Delineated by CODEFF, sent as KML",4. refined polygon,BirdLife International,endemic,35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,South America,136
15816,0,24800,South America,Chile,CHL,Islote Albatros - Seno Almirantazgo,Islote Albatros - Seno Almirantazgo,CL110,-54.4263013349,-69.1217256622,confirmed,,,10838,whole,0,CODEFF via regional office,"Delineated by CODEFF, sent as KML",4. refined polygon,BirdLife International,other,35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,South America,11
15824,0,24742,South America,Chile,CHL,Valle del Yeso,Valle del Yeso,CL041,-33.6252404071,-69.9822629544,confirmed,,,31767,little/none,0,CODEFF via regional office,"Delineated by CODEFF, sent as KML",4. refined polygon,BirdLife International,"VU, endemic",37,49,Mediterraneo,,,Chile,WCS areas of work,South America,316
15830,0,24796,South America,Chile,CHL,Monumento Natural Isla Contramaestre,Monumento Natural Isla Contramaestre,,-52.9435916137,-70.3558189823,confirmed,,,142,little/none,0,Coastline of Islands taken from Global dataset in January 2013. Repositioned to cover the island,,3. draft polygon,"Gill Bunting, BirdLife International",other,35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,South America,0
15890,0,19481,South America,Argentina,ARG,Complejo Punta Tombo  - Punta Atlas,Complejo Punta Tombo  - Punta Atlas,AR241,-43.9800318678,-65.0712945179,confirmed,,,246972,most,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, migratory birds/congregations",34,38,Valdes,,,Argentina,WCS areas of work,South America,96
15893,0,19576,South America,Argentina,ARG,Canal Beagle,Canal Beagle,AR266,-54.8473893229,-67.7140372379,confirmed,,,72419,little/none,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, endemic",35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,South America,553
15894,0,19578,South America,Argentina,ARG,Parque Nacional Tierra del Fuego y Reserva Provincial Coraz├│n de la Isla,Parque Nacional Tierra del Fuego y Reserva Provincial Coraz├│n de la Isla,AR263,-54.555916984,-68.0944304979,confirmed,,,234882,some,4,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, other",35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,South America,2322
15983,0,24733,South America,Chile,CHL,Reserva Nacional R├¡o Clarillo,Reserva Nacional R├¡o Clarillo,CL042,-33.7711447392,-70.4458227291,confirmed,,,12995,whole,1,WDPA - 2010,,3. draft polygon,BirdLife International,endemic,37,49,Mediterraneo,,,Chile,WCS areas of work,South America,3
9582,0,24730,South America,Chile,CHL,Santuario de la Naturaleza Yerba Loca,Santuario de la Naturaleza Yerba Loca,CL039,-33.3553203631,-70.2960768427,confirmed,,,43874,whole,1,Extracted from Protected Area GIS layers provided by Partner in January 2013,,3. draft polygon,"Gill Bunting, BirdLife International","VU, endemic",37,49,Mediterraneo,,,Chile,WCS areas of work,South America,26
14770,0,29793,South America,Chile,CHL,Farellones 2,Farellones 2,,-33.2490399731,-70.2144791332,,confirmed,de-listed,5168,most,1,Created by AZE process from various sources,range map,3. draft polygon,CI,"VU, endemic",37,49,Mediterraneo,,,Chile,WCS areas of work,South America,26
9753,0,19480,South America,Argentina,ARG,Punta Le├│n,Punta Le├│n,AR239,-43.0650559012,-64.4796275012,confirmed,,,837,whole,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,migratory birds/congregations,34,38,Valdes,,,Argentina,WCS areas of work,South America,8
15766,0,19479,South America,Argentina,ARG,Sistema Pen├¡nsula de Vald├®s,Sistema Pen├¡nsula de Vald├®s,AR237,-42.6251679827,-64.3965352778,confirmed,,,1948207,whole,11,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"CR/EN, VU, migratory birds/congregations, other",34,38,Valdes,,,Argentina,WCS areas of work,South America,8
15893,0,19576,South America,Argentina,ARG,Canal Beagle,Canal Beagle,AR266,-54.8473893229,-67.7140372379,confirmed,,,72419,little/none,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, endemic",35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,South America,0
15894,0,19578,South America,Argentina,ARG,Parque Nacional Tierra del Fuego y Reserva Provincial Coraz├│n de la Isla,Parque Nacional Tierra del Fuego y Reserva Provincial Coraz├│n de la Isla,AR263,-54.555916984,-68.0944304979,confirmed,,,234882,some,4,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, other",35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,South America,0
3738,0,20392,South America,Paraguay,PRY,Parque Nacional Defensores del Chaco,Parque Nacional Defensores del Chaco,PY002,-20.2092052592,-60.2393941988,confirmed,,,711753,whole,4,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,,other,36,44,Paraguayan Chaco,,,Paraguay,WCS areas of work,South America,7117
3740,0,20394,South America,Paraguay,PRY,Parque Nacional M├®danos del Chaco,Parque Nacional M├®danos del Chaco,PY001,-20.3034754922,-61.5768414455,confirmed,,,531649,whole,3,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,,"CR/EN, other",36,44,Paraguayan Chaco,,,Paraguay,WCS areas of work,South America,1093
4136,0,22209,South America,Brazil,BRA,Arquip├®lago de Anavilhanas,Arquip├®lago de Anavilhanas,BR024,-2.6430969047,-60.7895685781,confirmed,,,197810,whole,4,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,,"VU, endemic",46,61,Lower R├¡o Negro,,,Brazil,WCS areas of work,South America,1978
4186,0,22269,South America,Brazil,BRA,Parque Nacional do Ja├║,Parque Nacional do Ja├║,BR021,-2.2533071078,-62.6499674007,confirmed,,,2367833,whole,3,IBA Directory Process,Recieved from Partner via Regional Office,4. refined polygon,,"VU, endemic, other",46,61,Lower R├¡o Negro,,,Brazil,WCS areas of work,South America,23653
4400,0,23878,South America,Brazil,BRA,├ürea de Relevante Interesse Ecol├│gico Projeto Din├ómica Biol├│gica de Fragmentos Florestais e Entorno,├ürea de Relevante Interesse Ecol├│gico Projeto Din├ómica Biol├│gica de Fragmentos Florestais e Entorno,BR025,-2.3872176828,-59.8947256949,confirmed,,,46201,some,4,IBA Directory Process,Recieved from Partner via Regional Office,4. refined polygon,,"VU, endemic, other",46,61,Lower R├¡o Negro,,,Brazil,WCS areas of work,South America,47
9594,0,14348,South America,Bolivia,BOL,Yungas Superiores de Madidi,Yungas Superiores de Madidi,BO016,-14.3548329048,-68.6436123187,confirmed,confirmed,,260020,whole,2,Original boundary from IBA Directory Process adopted by CEPF Tropical Andes Hotspot Profile in 2015,Received from NatureServe as part of the CEPF Tropical Andes Hotspot Profile in 2015,3. draft polygon,BirdLife / CEPF,"VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,2600
9597,0,14354,South America,Bolivia,BOL,"Bajo R├¡o Beni, Regi├│n Tacana","Bajo R├¡o Beni, Regi├│n Tacana",BO003,-13.4676434094,-67.1324761339,confirmed,,,483497,little/none,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,,CR/EN,38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,4835
9603,0,14362,South America,Bolivia,BOL,Bosque de Polylepis de Madidi,Bosque de Polylepis de Madidi,BO004,-14.588277866,-69.0344071363,confirmed,confirmed,,102459,whole,2,Original boundary from IBA Directory Process adopted by CEPF Tropical Andes Hotspot Profile in 2015,Received from NatureServe as part of the CEPF Tropical Andes Hotspot Profile in 2015,3. draft polygon,BirdLife / CEPF,"CR/EN, VU, endemic",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,1024
9606,0,14367,South America,Bolivia,BOL,Yungas Inferiores de Madidi,Yungas Inferiores de Madidi,BO030,-13.898677366,-68.6959393363,confirmed,confirmed,,402285,whole,2,Original boundary from IBA Directory Process adopted by CEPF Tropical Andes Hotspot Profile in 2015,Received from NatureServe as part of the CEPF Tropical Andes Hotspot Profile in 2015,3. draft polygon,BirdLife / CEPF,"CR/EN, VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,3959
9609,0,14370,South America,Bolivia,BOL,Reserva Nacional Amaz├│nica Manuripi Heath,Reserva Nacional Amaz├│nica Manuripi Heath,BO041,-11.8439373223,-68.2034760906,confirmed,,,760826,whole,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,,"VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,14
9620,0,14387,South America,Bolivia,BOL,Yungas Inferiores de Pil├│n Lajas,Yungas Inferiores de Pil├│n Lajas,BO045,-15.0810619037,-67.3561538322,confirmed,confirmed,,271306,whole,3,Original boundary from IBA Directory Process adopted by CEPF Tropical Andes Hotspot Profile in 2015,Received from NatureServe as part of the CEPF Tropical Andes Hotspot Profile in 2015,3. draft polygon,BirdLife / CEPF,"VU, endemic",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,2713
9633,0,23867,South America,Bolivia,BOL,Estaci├│n Biol├│gica del Beni,Beni Biological Station Biosphere Reserve,BO038,-14.6432754621,-66.3142663056,confirmed,,,134937,whole,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,,"VU, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,99
9634,0,23869,South America,Bolivia,BOL,Serran├¡a Bella Vista,Serran├¡a Bella Vista,BO047,-15.660554168,-67.6240800024,confirmed,confirmed,,36364,little/none,0,Original boundary from IBA Directory Process adopted by CEPF Tropical Andes Hotspot Profile in 2015,Received from NatureServe as part of the CEPF Tropical Andes Hotspot Profile in 2015,3. draft polygon,BirdLife / CEPF,CR/EN,38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,358
9636,0,23873,South America,Bolivia,BOL,Oeste de R├¡o Mamor├®,Oeste de R├¡o Mamor├®,BO049,-13.739517852,-65.8883848317,confirmed,,,1101299,some,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,,"CR/EN, VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,1719
9638,0,21010,South America,Bolivia,BOL,Cotapata,Cotapata,,-15.9817281957,-68.0711730303,,confirmed,confirmed,289253,some,3,NatureServe 2015,"Delineated using spatial layers representing biodiversity value, land cover, and adjacent KBAs",3. draft polygon,"R. Smyth, NatureServe","CR/EN, VU",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,830
9881,0,14671,South America,Peru,PER,Reserva Nacional Pacaya Samiria,Reserva Nacional Pacaya Samiria,PE108,-5.2179972164,-74.7809585199,confirmed,,,2171793,whole,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"CR/EN, VU, endemic, migratory birds/congregations, other",40,54,Mara├▒on Ucayali,,,Peru,WCS areas of work,South America,21473
9882,0,14690,South America,Peru,PER,Tambopata,Tambopata,PE115,-12.9057482198,-69.332106811,confirmed,,,277822,whole,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,2778
9885,0,14703,South America,Peru,PER,Reserva Amaz├│nica,Reserva Amaz├│nica,PE114,-12.4819867615,-69.0254646152,confirmed,,,7963,whole,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,80
9886,0,14719,South America,Peru,PER,Morona,Morona,PE106,-4.5057515972,-77.2630051311,confirmed,,,143673,little/none,0,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, endemic, other",40,54,Mara├▒on Ucayali,,,Peru,WCS areas of work,South America,1389
9887,0,14725,South America,Peru,PER,Bahuaja-Sonene,Bahuaja-Sonene,PE116,-13.3713492743,-69.4060093723,confirmed,,,1092935,whole,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,10866
9913,0,14847,South America,Peru,PER,Los Amigos,Los Amigos,PE113,-12.3116500126,-70.400266292,confirmed,,,135859,little/none,0,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,12
9933,0,14691,South America,Peru,PER,Mina Inca,Mina Inca,PE093,-13.8459765649,-69.6865696351,confirmed,confirmed,,2443,little/none,0,Original IBA boundary retained by the CEPF Hotspot Profile process in 2015,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"CR/EN, endemic",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,24
9934,0,14692,South America,Peru,PER,Sandia,Sandia,PE095,-14.2951662726,-69.3490549251,confirmed,confirmed,,35762,little/none,0,Original IBA boundary retained by the CEPF Hotspot Profile process in 2015,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,358
9935,0,14693,South America,Peru,PER,Maruncunca,Maruncunca,PE094,-14.1814704282,-69.1904017155,confirmed,confirmed,,53711,little/none,0,Original IBA boundary retained by the CEPF Hotspot Profile process in 2015,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,537
9936,0,14694,South America,Peru,PER,Valc├│n,Valc├│n,PE096,-14.384133681,-69.3690121497,confirmed,confirmed,,2035,little/none,0,Original IBA boundary retained by the CEPF Hotspot Profile process in 2015,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, endemic, other",38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,South America,20
9973,0,14918,South America,Peru,PER,Parque Nacional Cordillera Azul,Parque Nacional Cordillera Azul,PE109,-7.7247696805,-75.948110794,confirmed,confirmed,de-listed,1353891,whole,1,Original IBA boundary retained by the CEPF Hotspot Profile process in 2015,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"CR/EN, VU, endemic",40,54,Mara├▒on Ucayali,,,Peru,WCS areas of work,South America,0
9998,0,19091,South America,Colombia,COL,Parque Nacional Natural El Tuparro,Parque Nacional Natural El Tuparro,CO196,5.2308411628,-68.4767730794,confirmed,,,549076,whole,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,endemic,41,55,Eastern Savannas of Arauca and Vichada,,,Colombia,WCS areas of work,South America,5466
9999,0,19110,South America,Colombia,COL,Lagos de Yahuarcaca e Isla Ronda,Lagos de Yahuarcaca e Isla Ronda,CO199,-4.158340761,-69.9942740863,confirmed,,,2124,little/none,0,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,endemic,40,54,Mara├▒on Ucayali,,,Peru,WCS areas of work,South America,1
10001,0,19149,South America,Colombia,COL,Delta del R├¡o San Juan,Delta del R├¡o San Juan,CO124,4.2323410726,-77.389372503,confirmed,,,80379,little/none,0,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,migratory birds/congregations,44,58,Andes-Choco,,,Colombia,WCS areas of work,South America,458
10008,0,14510,South America,Colombia,COL,Ca├▒├│n del R├¡o Combeima,Ca├▒├│n del R├¡o Combeima,CO054,4.5185807943,-75.2955372626,confirmed,confirmed,,6645,little/none,7,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile,Recieved from Partner via Regional Office,3. draft polygon,BirdLife / CEPF,"VU, endemic",43,57,Western-Central Andes,,,Colombia,WCS areas of work,South America,66
10009,0,14511,South America,Colombia,COL,Cuenca del R├¡o Jim├®nez,Cuenca del R├¡o Jim├®nez,CO044,5.0667149274,-74.9374147451,confirmed,confirmed,,9079,little/none,0,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile,Recieved from Partner via Regional Office,3. draft polygon,BirdLife / CEPF,VU,43,57,Western-Central Andes,,,Colombia,WCS areas of work,South America,91
10013,0,14410,South America,Colombia,COL,Reserva Natural Semillas de Agua,Reserva Natural Semillas de Agua,CO056,4.254467281,-75.5554202971,confirmed,confirmed,,1117,whole,2,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile,Recieved from Partner via Regional Office,3. draft polygon,BirdLife / CEPF,"CR/EN, endemic",43,57,Western-Central Andes,,,Colombia,WCS areas of work,South America,11
10014,0,14412,South America,Colombia,COL,P├íramos y Bosques Altoandinos de G├®nova,P├íramos y Bosques Altoandinos de G├®nova,CO057,4.1771443131,-75.711489043,confirmed,confirmed,de-listed,11052,most,9,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile,Recieved from Partner via Regional Office,3. draft polygon,BirdLife / CEPF,"CR/EN, VU, endemic",43,57,Western-Central Andes,,,Colombia,WCS areas of work,South America,111
10017,0,14416,South America,Colombia,COL,"Reserva Hidrogr├ífica, Forestal y Parque Ecol├│gico de R├¡o Blanco","Reserva Hidrogr├ífica, Forestal y Parque Ecol├│gico de R├¡o Blanco",CO045,5.0776222577,-75.4111565618,confirmed,confirmed,,3771,whole,2,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile,Recieved from Partner via Regional Office,3. draft polygon,BirdLife / CEPF,"VU, endemic, other",43,57,Western-Central Andes,,,Colombia,WCS areas of work,South America,38
10020,0,14421,South America,Colombia,COL,Regi├│n del Alto Calima,Regi├│n del Alto Calima,CO029,3.8738552676,-76.7048507583,confirmed,confirmed,,19399,some,1,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile,Recieved from Partner via Regional Office,3. draft polygon,BirdLife / CEPF,"CR/EN, VU, endemic, other",44,58,Andes-Choco,,,Colombia,WCS areas of work,South America,194
10021,0,14422,South America,Colombia,COL,Ca├▒├│n del R├¡o Barbas y Bremen,Ca├▒├│n del R├¡o Barbas y Bremen,CO050,4.6965228198,-75.6185613413,confirmed,confirmed,,9772,whole,5,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile,Recieved from Partner via Regional Office,3. draft polygon,BirdLife / CEPF,"CR/EN, VU, endemic",43,57,Western-Central Andes,,,Colombia,WCS areas of work,South America,98
10022,0,14426,South America,Colombia,COL,Reserva Natural Meremberg,Reserva Natural Meremberg,CO064,2.3769133892,-76.3819099597,confirmed,confirmed,,1965,whole,1,Original boundary defined by the IBA Directory Processes was retained by the 2015 CEPF Hotspot Profile,Recieved from Partner via Regional Office,3. draft polygon,BirdLife / CEPF,"VU, endemic",43,57,Western-Central Andes,,,Colombia,WCS areas of work,South America,20
